Dark-Light,Size,Salinity,Concentration,Distance_moved_Total,Velocity_Mean,Meander,Turn angle,Angular velocity,In_zone_Frequency,In_zone_Cumulative_duration,Movement_Mean,Movement,Freezing_Mean,Freezing_Frequency,Freezing_duration,,
Light_3,L,15,Light_3-MC2-15,0.476189,0.237997,-4071,9.17438,275.119,1,120.032,,0,2.00082,1,2.00082,,
Light_3,L,15,Light_3-MC2-15,0.0828205,0.0413935,-6926.8,-6.37938,-191.297,3,119.599,,0,2.00081,1,2.00081,,
Light_3,L,15,Light_3-MC2-15,0,0,,,,,,,0,2.00081,1,2.00081,,
Dark_1,L,15,Dark_1-MC3-15,30.9809,15.4842,871.426,40.0306,1200.43,2,103.466,0.10671,5,0.293452,5,1.46726,,
Dark_1,L,15,Dark_1-MC3-15,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_1,L,15,Dark_1-MC3-15,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_2,L,15,Dark_2-MC3-15,4.11519,2.05675,-13148.6,-23.9378,-717.836,2,117.065,0.066694,1,0.967057,2,1.93411,,
Dark_2,L,15,Dark_2-MC3-15,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_2,L,15,Dark_2-MC3-15,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_3,L,15,Dark_3-MC3-15,0.135837,0.067891,47053.1,22.9096,687.008,3,114.032,,0,2.00081,1,2.00081,,
Dark_3,L,15,Dark_3-MC3-15,1.20913,0.604332,-165.683,-11.2892,-338.531,1,119.965,0.166734,1,0.917034,2,1.83407,,
Dark_3,L,15,Dark_3-MC3-15,1.00868,0.504147,28092,22.1021,662.797,1,120.032,0.033347,1,0.983727,2,1.96745,,
Light_1,L,15,Light_1-MC3-15,21.7779,10.8846,4005.91,19.9116,597.103,1,120.032,0.0458519,8,0.181555,9,1.63399,,
Light_1,L,15,Light_1-MC3-15,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Light_1,L,15,Light_1-MC3-15,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Light_2,L,15,Light_2-MC3-15,0.159693,0.0798143,25557.7,39.7313,1191.45,1,120.032,,0,2.00081,1,2.00081,,
Light_2,L,15,Light_2-MC3-15,0,0,,,,1,119.132,,0,2.0008,1,2.0008,,
Light_2,L,15,Light_2-MC3-15,0.0201069,0.0100493,,,,1,120.032,,0,2.0008,1,2.0008,,
Light_3,L,15,Light_3-MC3-15,0.152302,0.0761206,-51852.7,5.51081,165.261,8,98.0657,,0,2.00081,1,2.00081,,
Light_3,L,15,Light_3-MC3-15,0.21089,0.105402,48562.3,20.0597,601.546,1,120.032,,0,2.0008,1,2.0008,,
Light_3,L,15,Light_3-MC3-15,0.0707912,0.0353815,14842.5,2.43372,72.9827,6,85.6991,,0,2.0008,1,2.0008,,
Dark_1,L,25,Dark_1-MC1-25,0.167418,0.0836745,5683.54,180,5397.79,1,120.032,,0,2.00082,1,2.00082,,
Dark_1,L,25,Dark_1-MC1-25,2.2591,1.12909,-557.963,-1.45177,-43.5368,1,120.032,0.033347,1,0.98373,2,1.96746,,
Dark_1,L,25,Dark_1-MC1-25,1.38717,0.693306,1258.27,10.9197,327.455,3,118.632,0.566894,1,0.716954,2,1.43391,,
Dark_1,L,25,Dark_1-MC1-25,1.01365,0.506623,-1456.68,-1.23161,-36.9405,1,120.032,0.116713,2,0.589125,3,1.76737,,
Dark_2,L,25,Dark_2-MC1-25,0.030781,0.0153842,11695.5,180,5397.79,1,120.032,,0,2.00082,1,2.00082,,
Dark_2,L,25,Dark_2-MC1-25,0.757609,0.378651,-8747.4,-7.80191,-233.963,1,120.032,0.300121,1,1.70069,1,1.70069,,
Dark_2,L,25,Dark_2-MC1-25,0.523954,0.261872,-3114.7,9.23767,277.022,1,120.032,0.10004,1,1.90076,1,1.90076,,
Dark_2,L,25,Dark_2-MC1-25,0.61264,0.306197,9560.92,6.0334,180.927,1,120.032,0.20008,1,0.900361,2,1.80072,,
Dark_3,L,25,Dark_3-MC1-25,0,0,,,,1,120.032,,0,2.00082,1,2.00082,,
Dark_3,L,25,Dark_3-MC1-25,0.274976,0.137432,81862.2,32.777,982.933,1,120.032,,0,2.00081,1,2.00081,,
Dark_3,L,25,Dark_3-MC1-25,0.724206,0.361958,2327.38,0.216118,6.48158,2,117.532,,0,2.0008,1,2.0008,,
Dark_3,L,25,Dark_3-MC1-25,0.973053,0.486333,-10106,-21.3391,-639.922,1,120.032,0.066693,2,0.622472,3,1.86742,,
Light_1,L,25,Light_1-MC1-25,0,0,,,,1,120.032,,0,2.00082,1,2.00082,,
Light_1,L,25,Light_1-MC1-25,0.923773,0.461701,-2146.17,-15.9904,-479.523,7,119.099,0.133387,1,0.93371,2,1.86742,,
Light_1,L,25,Light_1-MC1-25,1.48743,0.74342,-237.971,-4.3801,-131.343,1,120.032,1.0004,1,1.0004,1,1.0004,,
Light_1,L,25,Light_1-MC1-25,0.808317,0.403997,-348.888,-4.15586,-124.625,4,119.632,,0,2.0008,1,2.0008,,
Light_2,L,25,Light_2-MC1-25,0,0,,,,1,120.032,,0,2.00082,1,2.00082,,
Light_2,L,25,Light_2-MC1-25,0.530468,0.265127,-15146.1,3.89673,116.865,11,116.432,,0,2.00081,1,2.00081,,
Light_2,L,25,Light_2-MC1-25,0.786761,0.393223,12468.2,20.4579,613.499,3,117.932,,0,2.0008,1,2.0008,,
Light_2,L,25,Light_2-MC1-25,0.355524,0.177691,-9237.38,10.9275,327.7,1,120.032,,0,2.0008,1,2.0008,,
Light_3,L,25,Light_3-MC1-25,0.0382268,0.0191056,-14586.6,1.27E-14,0,1,120.032,,0,2.00082,1,2.00082,,
Light_3,L,25,Light_3-MC1-25,0.990524,0.495061,2540.79,8.16505,244.854,3,119.399,0.15006,2,0.566896,3,1.70069,,
Light_3,L,25,Light_3-MC1-25,1.12605,0.562798,-5712.74,4.05733,121.673,1,120.032,,0,2.0008,1,2.0008,,
Light_3,L,25,Light_3-MC1-25,0.260061,0.129978,-4278.62,11.8619,355.716,1,120.032,,0,2.0008,1,2.0008,,
Dark_1,L,25,Dark_1-MC2-25,2.37908,1.18905,-213.583,4.29685,128.853,1,120.032,0.033347,1,0.983736,2,1.96747,,
Dark_1,L,25,Dark_1-MC2-25,0.17973,0.0898283,28795.3,5.78102,173.36,1,120.032,,0,2.00082,1,2.00082,,
Dark_1,L,25,Dark_1-MC2-25,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_2,L,25,Dark_2-MC2-25,0.716303,0.358005,8829.56,9.658,289.621,1,120.032,,0,2.00082,1,2.00082,,
Dark_2,L,25,Dark_2-MC2-25,0.0512166,0.0255978,65170.6,52.3738,1570.57,1,120.032,,0,2.00082,1,2.00082,,
Dark_2,L,25,Dark_2-MC2-25,0.0369955,0.0184905,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_3,L,25,Dark_3-MC2-25,0.211724,0.105819,6036.63,8.41813,252.44,1,120.032,,0,2.00082,1,2.00082,,
Dark_3,L,25,Dark_3-MC2-25,0.0719718,0.0359712,88684.4,147.273,4416.37,1,120.032,,0,2.00082,1,2.00082,,
Dark_3,L,25,Dark_3-MC2-25,0.0369955,0.0184907,,,,1,120.032,,0,2.0008,1,2.0008,,
Light_1,L,25,Light_1-MC2-25,0.61616,0.307954,2987.94,-4.58861,-137.602,1,120.032,0.033347,1,0.983736,2,1.96747,,
Light_1,L,25,Light_1-MC2-25,0.131871,0.0659086,21633.7,98.7107,2960.11,1,120.032,,0,2.00082,1,2.00082,,
Light_1,L,25,Light_1-MC2-25,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Light_2,L,25,Light_2-MC2-25,0.342335,0.171098,31917.9,13.4775,404.158,1,120.032,,0,2.00082,1,2.00082,,
Light_2,L,25,Light_2-MC2-25,0.0990658,0.0495126,44329.3,124.751,3741.01,2,119.965,,0,2.00082,1,2.00082,,
Light_2,L,25,Light_2-MC2-25,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Light_3,L,25,Light_3-MC2-25,0.298077,0.148977,32505,11.3131,339.253,1,120.032,,0,2.00082,1,2.00082,,
Light_3,L,25,Light_3-MC2-25,0.0114012,0.00569825,107845,-55.592,-1667.08,1,120.032,,0,2.00082,1,2.00082,,
Light_3,L,25,Light_3-MC2-25,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_1,L,25,Dark_1-MC3-25,0.733966,0.366833,-7154.06,3.99654,119.847,1,120.032,0.300123,1,0.850348,2,1.7007,,
Dark_1,L,25,Dark_1-MC3-25,3.46141,1.73001,-80.6713,-19.9535,-598.336,1,120.032,0.05002,2,0.633589,3,1.90077,,
Dark_1,L,25,Dark_1-MC3-25,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_2,L,25,Dark_2-MC3-25,0.695827,0.347771,28124.2,0.460647,13.8138,1,120.032,0.066694,1,1.93413,1,1.93413,,
Dark_2,L,25,Dark_2-MC3-25,0,0,,,,1,120.032,,0,2.00081,1,2.00081,,
Dark_2,L,25,Dark_2-MC3-25,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_3,L,25,Dark_3-MC3-25,0.519956,0.259871,-26782.3,-15.9247,-477.545,1,120.032,,0,2.00082,1,2.00082,,
Dark_3,L,25,Dark_3-MC3-25,0,0,,,,1,120.032,,0,2.00081,1,2.00081,,
