Dark.Light,Salinity,Size,Concentration,Distance_moved_Total,Velocity_Mean,Meander,Turn angle,Angular velocity,In_zone_Frequency,In_zone_Cumulative_duration,Movement,Freezing_Mean,Freezing_Frequency,Freezing_duration
Dark,20,L,C2,50.1677,0.418533,14.0429,-0.532249,-15.9676,50,78.3992,45,2.53476,46,116.599
Dark,25,L,C3,23.5156,0.203307,966.395,4.43097,132.93,27,46.4995,13,7.67992,15,115.199
Dark,15,L,C2,51.1588,0.432332,-267.802,-1.71029,-51.3093,25,73.2993,22,4.17258,28,116.832
Dark,15,L,C3,17.5316,0.146261,-553.396,0.357152,10.7147,7,110.866,1,59.9827,2,119.965
Dark,25,L,C3,70.0736,0.584602,-303.204,-0.259555,-7.78671,64,50.2328,56,1.99238,57,113.566
Dark,15,L,C3,54.7937,0.460456,-1196.16,-0.876971,-26.3094,24,75.3326,35,3.22867,36,116.232
Dark,15,L,C2,17.5443,0.146366,8815.31,18.8951,566.859,0,0,1,59.9327,2,119.865
Dark,20,L,C3,111.625,0.962016,-287.013,0.0194569,0.583712,42,40.9996,40,1.92998,40,77.1992
Dark,20,L,C3,104.989,0.890247,-146.848,-0.616223,-18.4869,86,32.3997,50,1.78825,54,96.5657
Dark,25,LT,LT,14.1707,0.118156,1672.62,-0.545915,-16.3776,1,119.999,1,59.9661,2,119.932
Dark,25,LT,LT,43.2913,0.361266,399.745,0.0578732,1.73621,15,69.8326,4,23.8931,5,119.465
Dark,25,LT,LT,1.50664,0.0125695,12801,167.02,5010.66,0,0,0,119.999,1,119.999
Dark,25,LT,LT,50.514,0.424016,2780.42,0.525326,15.7599,14,42.5996,16,6.93719,17,117.932
Dark,20,LT,LT,32.2709,0.269226,1311.89,-0.259543,-7.78637,34,108.732,12,9.13324,13,118.732
Dark,15,LT,LT,0.186149,0.00155298,13950.9,180,5400.05,5,0.166665,0,119.999,1,119.999
Dark,25,LT,LT,12.7533,0.106397,17007.8,82.6704,2480.14,0,0,2,39.9663,3,119.899
Dark,20,LT,LT,16.8208,0.140331,-3224.98,0.257292,7.71884,1,119.999,0,119.999,1,119.999
Dark,15,LT,LT,68.6004,0.585833,1488.04,0.466282,13.9886,30,77.5659,36,2.78914,40,111.566
Dark,20,LT,LT,15.808,0.132176,3531.48,1.25926,37.778,5,119.099,4,29.733,4,118.932
Dark,15,LT,LT,29.2197,0.246929,427.035,-0.823118,-24.6938,27,102.032,37,3.05523,38,116.099
Dark,25,S,C3,64.1667,0.537565,482.766,-0.0901262,-2.70381,66,85.3991,36,3.0306,37,112.132
Dark,20,LT,LT,86.7387,0.766476,-1024.4,-1.24382,-37.315,74,82.2992,55,1.93331,57,110.199
Dark,15,LT,LT,69.2967,0.635368,63.7782,-1.07892,-32.3678,90,60.0327,59,1.55587,68,105.799
Dark,20,LT,LT,71.4896,0.601096,500.072,0.56898,17.0696,27,66.6993,39,2.71542,41,111.332
Dark,25,S,C3,22.1328,0.184647,-1339.83,0.620285,18.6088,8,117.665,5,19.8054,6,118.832
Dark,15,S,C3,60.6251,0.514067,-88.7119,0.675547,20.2666,79,52.3995,76,1.39165,80,111.332
Dark,25,S,C3,95.6043,0.809072,-107.247,0.939227,28.1771,75,73.9659,49,2.18721,47,102.799
Dark,25,S,C3,41.4553,0.346041,-619.253,-1.46985,-44.0959,38,89.9991,15,7.31243,16,116.999
Dark,15,S,C3,17.7492,0.148076,2192.51,3.35316,100.596,32,114.799,5,19.9276,6,119.565
Dark,15,S,C3,15.6888,0.130887,807.09,0.70518,21.1556,1,119.999,0,119.999,1,119.999
Dark,25,S,C3,59.4972,0.498029,-219.427,-0.925616,-27.7687,34,83.4992,25,4.52303,26,117.599
Dark,25,S,C3,38.1682,0.320655,-121.918,-1.1252,-33.7562,34,45.1329,41,2.84144,41,116.499
Dark,15,S,C3,78.956,0.660911,-171.346,-0.898254,-26.9479,61,84.6325,32,3.31916,33,109.532
Dark,15,S,C3,13.193,0.110065,-3598.99,-1.78026,-53.4085,1,119.999,0,119.999,1,119.999
Dark,25,S,C3,43.0458,0.362545,-26.516,-0.0605283,-1.81587,16,78.3659,24,4.46662,26,116.132
Dark,20,S,C3,39.5047,0.329942,-902.718,-0.0575223,-1.72569,57,64.3994,37,3.06313,38,116.399
Dark,20,S,C3,51.6984,0.471275,304.985,0.255523,7.66578,37,88.0658,29,2.39201,46,110.032
Dark,20,S,C3,4.25588,0.0355055,86.0888,0.52372,15.7118,2,0.433329,4,23.9464,5,119.732
Dark,20,S,C3,20.521,0.171296,-465.53,-1.18733,-35.6203,6,119.132,4,23.9531,5,119.765
Dark,25,o,Cont,97.4014,0.823118,-156.926,2.02974,60.8929,70,56.2994,66,1.28282,66,84.6658
Dark,25,o,Cont,63.5286,0.537927,-1144.3,-0.832067,-24.9623,34,71.0326,41,2.61188,42,109.699
Dark,25,o,Cont,63.6996,0.544291,-547.846,-0.0868623,-2.6059,44,67.2993,42,2.52876,44,111.266
Dark,25,L,C1,49.9042,0.416103,765.868,0.289891,8.6968,29,41.9996,12,9.05376,13,117.699
Dark,25,o,Cont,128.195,1.07638,40.8152,-0.23103,-6.93098,70,59.8994,46,1.35578,46,62.366
Dark,20,L,C1,62.8485,0.530372,-371.451,0.336046,10.0815,58,74.5659,66,1.65172,67,110.666
Dark,25,L,C1,43.3887,0.363292,514.602,-0.0899864,-2.69962,23,71.3993,18,6.20696,19,117.932
Dark,20,L,C1,99.6195,0.847834,-124.25,-0.526393,-15.7919,32,58.9994,50,1.92451,53,101.999
Dark,20,o,Cont,17.0261,0.141964,69.6154,2.21281,66.3848,3,116.765,6,16.9332,7,118.532
Dark,25,L,C1,170.765,1.51121,58.3718,2.88824,86.6482,44,45.9995,52,0.566661,38,21.5331
Dark,20,o,Cont,122.316,1.01988,-70.2071,-1.55129,-46.5391,29,55.0328,48,1.36053,49,66.666
Dark,20,L,C1,194.176,1.62492,-14.8328,-2.91942,-87.5835,74,32.233,31,0.553328,30,16.5998
Dark,25,o,Cont,71.5493,0.596914,-306.775,-0.918032,-27.5412,17,70.5326,10,10.2696,11,112.966
Dark,25,L,C1,23.2943,0.194716,985.894,-0.980758,-29.423,75,86.7325,15,7.38326,16,118.132
Dark,20,o,Cont,66.0391,0.556984,509.908,-0.00988498,-0.296552,47,63.766,80,1.32273,85,112.432
Dark,20,L,C1,12.5774,0.104871,16706,99.4808,2984.45,1,119.999,0,119.999,1,119.999
Dark,20,o,Cont,113.2,0.978963,-68.713,-2.11863,-63.5595,66,48.0662,75,1.14154,73,83.3325
Dark,20,o,Cont,33.3776,0.279625,-1835.68,0.342539,10.2763,10,20.0331,45,2.4709,47,116.132
Dark,20,L,C1,29.9072,0.249993,-641.014,-1.43667,-43.1006,15,42.4329,10,9.86935,12,118.432
Dark,25,L,C1,66.893,0.558067,-34.8288,0.494294,14.829,19,88.6658,31,3.34684,32,107.099
Dark,25,o,Cont,91.414,0.776018,319.943,0.169807,5.09426,55,48.2662,105,0.928922,106,98.4657
Dark,25,L,C1,70.7433,0.607245,-392.911,-0.0533145,-1.59945,36,56.2328,48,2.16599,51,110.466
Dark,20,o,Cont,83.9543,0.765782,154.403,1.29705,38.9118,28,54.1328,39,2.17657,47,102.299
Dark,25,L,C1,61.7744,0.515364,204.821,0.759774,22.7935,23,88.2991,21,5.38566,21,113.099
Dark,25,o,Cont,53.6328,0.46409,655.807,0.212752,6.38263,41,73.3993,37,2.43718,43,104.799
Dark,20,o,Cont,85.1236,0.722006,508.173,0.250978,7.52943,46,49.5328,43,2.41775,45,108.799
Dark,25,o,Cont,102.259,0.857165,112.878,-1.48257,-44.4776,76,58.9327,44,1.96813,45,88.5658
Dark,15,L,C1,43.4306,0.415079,-2543.26,-0.17584,-5.27526,40,19.9331,38,2.77385,37,102.632
Dark,25,L,C2,132.444,1.11863,-117.399,-1.77978,-53.394,74,62.2994,52,1.35065,50,67.5327
Dark,25,o,Cont,88.9047,0.789336,-54.4063,1.44891,43.4678,38,27.5997,31,2.4769,39,96.599
Dark,20,L,C2,14.166,0.118347,-5505.09,-0.70875,-21.2627,2,116.965,4,19.9165,6,119.499
Dark,20,o,Cont,13.0331,0.108671,1974.47,-0.467253,-14.0177,1,119.999,1,59.9661,2,119.932
Dark,15,L,C1,80.9823,0.678061,106.446,0.518003,15.5402,61,89.5991,42,2.67497,40,106.999
Dark,15,o,Cont,83.7794,0.705023,-121.36,0.495833,14.8751,45,65.266,30,3.28122,32,104.999
Dark,15,o,Cont,116.569,0.971959,736.097,0.079561,2.38685,38,93.8657,47,1.43193,48,68.7326
Dark,25,L,C2,155.627,1.30817,66.0812,2.33232,69.9703,79,36.133,44,1.20154,43,51.6661
